source_file,sample_rate_hz,duration_s,pulse_threshold_db,raw_candidate_count,refined_candidate_count,split_candidate_count,separated_component_count,accepted_pulse_count,rejected_pulse_count
Avisoft录制1.wav,250000,60.030976,-18.034195902978972,48,48,2,6,26,26
Avisoft录制2.wav,250000,60.030976,-10.597693954112975,78,78,24,61,104,11
Avisoft录制3.wav,250000,60.030976,-21.034065457344205,47,45,0,0,33,12
Dalazi.wav,250000,12.663512,-8.55763852025536,6,6,0,0,3,3
Kuzi.wav,250000,32.651532,-11.104193206051175,53,53,14,40,49,30
Lingyan.wav,250000,79.156092,-12.597314527606901,14,14,7,21,25,3
Longmenchang.wav,250000,28.490668,-4.841474698096284,8,8,0,0,6,2
Shilin.wav,250000,35.496292,-9.757571657361588,26,26,14,42,45,9
Tuqi.wav,250000,35.953096,-16.045046685198592,64,64,21,63,88,18
Xianren.wav,250000,62.372624,-18.364867540453453,66,66,10,29,62,23
